track,artist,album,uri,times_played
All Along the Watchtower,Bob Dylan,John Wesley Harding,spotify:track:0Fnb2pfBfu0ka33d6Yki17,58
All Along The Watchtower,Jimi Hendrix,Music From The Motion Picture Watchmen,spotify:track:0GuQcX8wTe8bUZ72ZncR7m,31
"All Along the Watchtower - Live at the Isle of Wight, UK",Jimi Hendrix,Blue Wild Angel: Jimi Hendrix At The Isle Of Wight,spotify:track:7vjHxrS5r0V0SYwSUTA6bM,3
All Along The Watchtower - previously unreleased alternate mix,Jimi Hendrix,Voodoo Child: The Jimi Hendrix Collection,spotify:track:4TfeaCc6uxXZAxpHAGyq0A,6
All Apologies - Live,Nirvana,MTV Unplugged In New York,spotify:track:3bH8PZsfbCRIoeNiFm7JmU,3
All by Myself,Green Day,Dookie,spotify:track:0fatcDJuNxjxA9tuBsQkrm,1
"All Dead, All Dead - Remastered 2011",Queen,Queen 40 Limited Edition Collector's Box Set Vol. 2,spotify:track:20t6kHHeRYGoKRcnMFqDh9,1
All I Care About,Jerry Orbach,Chicago: A Musical Vaudeville (Original Broadway Cast Recording),spotify:track:7pvAJpucuar50Oy5KOPPcj,3
All I Need (feat. Beth Hirsch),Air,Moon Safari,spotify:track:7jOM0KIKgIppqIEvEjixaj,1
All I Want for Christmas Is You - 2005,My Chemical Romance,Gift Wrapped: 20 Songs That Keep On Giving,spotify:track:48wRnWDekEx5bCOA9oeVF4,2
All My Love - 1990 Remaster,Led Zeppelin,In Through the out Door,spotify:track:6lrh9jZ1xoMwoErgPSj2rY,2
All My Own Stunts,Arctic Monkeys,Suck It and See,spotify:track:6VqNhGG3phs2dxms6UVhaw,48
All of Me,Billie Holiday,Billie Holiday Love Songs,spotify:track:79fXdfpOPGaXO1gfdq2onl,2
All of Me,John Legend,Love In The Future (Expanded Edition),spotify:track:3U4isOIWM3VvDubwSI3y7a,2
All Star,Smash Mouth,Astro Lounge,spotify:track:3cfOd4CMv2snFaKAnMdnvK,1
All That Jazz,Chita Rivera,Chicago: A Musical Vaudeville (Original Broadway Cast Recording),spotify:track:5fgx0ESgqggaMHpvanZvJv,12
All That's Known - Original Broadway Cast Recording/2006,Jonathan Groff,Spring Awakening,spotify:track:2rva0M9ct40LyAxwFi047X,1
All The Old Showstoppers,The New Pornographers,Challengers,spotify:track:6MIZSUD31QJCqFmXRjlQ6S,1
All The Right Moves,OneRepublic,Waking Up,spotify:track:5XRHGXut00SrJUFmcn2lQF,1
All The Small Things,blink-182,Enema Of The State,spotify:track:7yCPwWs66K8Ba5lFuU2bcx,33
All the Way,Frank Sinatra,Sinatra: Best Of The Best,spotify:track:5fUfnNKiGN5Hk7CmIVcSYA,1
All the Young Dudes - 1997 Remaster,David Bowie,The Best of David Bowie 1969 - 1974,spotify:track:6VRWJ5xSpSrR8dUiRUHqHa,3
All This And Heaven Too,Florence + The Machine,Ceremonials,spotify:track:74GJoiemPE1VOyN9nVFs6k,1
All Through the Night,Emancipator,Safe In the Steep Cliffs,spotify:track:2FWJQybUKPLQN83m6JJHP7,1
All We Are,OneRepublic,Dreaming Out Loud,spotify:track:1Jx69b09LKTuBQxkEiFfVX,1
All We Ever Wanted Was Everything,MGMT,Late Night Tales: MGMT,spotify:track:5ZXtFDfqkXHOayty0ystJy,2
All You Ever Wanted,The Black Keys,Attack & Release,spotify:track:5BqMq1J8wf3raTkewRftY4,4
Allegiance to Denethor,Howard Shore,The Lord of the Rings - The Return of the King - The Complete Recordings,spotify:track:58W4bm4C19IltlW3Vbf8Ce,1
Alone (feat. MGK),Sleeping With Sirens,Feel,spotify:track:2KxgTDM5DTz1uO4rOhlkzR,1
